date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2008-08-01,2007-02-02,2008-08-01,378,-0.039558693139380104,0.23792034198237486,2.6666666666666665,-0.02590273794569775,0.07783068420421607,-0.022614305217270925,-0.10561857580766573,-0.09750286934141028,10,True,True
2008-08-31,2007-03-01,2008-08-29,380,0.06262506334936499,0.23896235897443405,2.6526315789473687,-0.02590273794569775,0.07783068420421607,-0.022614305217270925,-0.09382644330450934,-0.08679750812599363,10,True,True
2008-09-30,2007-04-02,2008-09-30,379,0.07307990233972952,0.24965397477614976,3.9894459102902373,-0.02164409431994163,0.07823317510722584,-0.018412263926623873,0.11442216385050724,0.12466181175940005,10,True,True
2008-10-31,2007-05-01,2008-10-31,382,-0.25281162455685163,0.2884488252590573,3.9581151832460733,0.01758562324642295,0.1121504726325396,0.024161764722109957,0.20459615602638756,0.23477037335001438,8,True,True
2008-11-30,2007-05-31,2008-11-28,380,-0.4695014263464505,0.32609668602028774,3.9789473684210526,0.04850454462430672,0.10875336524604455,0.05592608952077982,-0.028217696057963326,-0.022057152537005353,24,True,True
2008-12-31,2007-07-02,2008-12-31,380,-0.4046923114213072,0.3399411688386175,4.6421052631578945,0.02972194899702187,0.11102062871272922,0.036536367383967816,0.12300578153580141,0.1378819225025132,6,True,True
2009-01-31,2007-08-01,2009-01-30,379,-0.5072521376097338,0.36588544810719026,3.9894459102902373,0.04133766658104624,0.1198872420888161,0.0497207138602187,-0.028410010184042205,-0.020999900459762966,6,True,True
2009-02-28,2007-08-29,2009-02-27,378,-0.5198436600034895,0.3742607306661233,4.0,0.04133766658104624,0.1198872420888161,0.0497207138602187,0.06550776648178759,0.07540167385729268,7,True,True
2009-03-31,2007-10-01,2009-03-31,378,-0.40883927600780706,0.40084064439683353,3.3333333333333335,0.03225020314388782,0.13170734065216452,0.04177252664374431,-0.053085774481219046,-0.04344057328495976,6,True,True
2009-04-30,2007-10-31,2009-04-30,377,-0.4775215290316254,0.4068377953111065,3.3421750663129974,0.03409542230381524,0.13279253296492646,0.04384639844459204,-0.039021219280669775,-0.029752699369450464,8,True,True
2009-05-31,2007-12-03,2009-05-29,375,-0.41837737375241263,0.40651986933258755,3.36,0.03409542230381524,0.13279253296492646,0.04384639844459204,-0.03276132222174067,-0.023660001210005666,8,True,True
2009-06-30,2007-12-31,2009-06-30,378,-0.37661591203415573,0.4048054339020565,3.3333333333333335,0.03409542230381524,0.13279253296492646,0.04384639844459204,-0.03734036181372298,-0.028120480570112183,10,True,True
2009-07-31,2008-02-01,2009-07-31,378,-0.3144863953268905,0.4109195688010657,3.3333333333333335,0.03409542230381524,0.13279253296492646,0.04384639844459204,-0.031177971934757857,-0.022112888505273598,8,True,True
