date,window_start,window_end,n_days,mu,sigma
2008-08-01,2007-02-02,2008-08-01,378,0.44773256290249497,0.5045463449832575
2008-08-31,2007-03-01,2008-08-29,380,0.4807601344366089,0.5107172189898215
2008-09-30,2007-04-02,2008-09-30,379,0.4013054980506417,0.5480615745184118
2008-10-31,2007-05-01,2008-10-31,382,-0.045528988396099,0.554642811793605
2008-11-30,2007-05-31,2008-11-28,380,-0.32646886427451316,0.5966736438455655
2008-12-31,2007-07-02,2008-12-31,380,-0.19113417484327366,0.613640734463919
2009-01-31,2007-08-01,2009-01-30,379,-0.19224216685501763,0.6126310004927552
2009-02-28,2007-08-29,2009-02-27,378,-0.10831508332256545,0.6190196101751975
2009-03-31,2007-10-01,2009-03-31,378,-0.15849490049024162,0.6321578157298194
2009-04-30,2007-10-31,2009-04-30,377,-0.061198416689022185,0.6214655192293321
2009-05-31,2007-12-03,2009-05-29,375,-0.10041830474757724,0.6194917080328248
2009-06-30,2007-12-31,2009-06-30,378,-0.08087308528897763,0.6187610071240632
2009-07-31,2008-02-01,2009-07-31,378,0.06579829329926017,0.6179260355523015
