date,window_start,window_end,n_days,lambda,omega,alpha,beta,sigma0,mu_p,rf_mean,persist_p,persist_q,uncond_var_p,uncond_var_q,q_stationary
2019-09-03,2018-03-05,2019-09-03,378,0.10933370988843016,4.721598351392569e-06,0.16767867552851118,0.7890199953372553,0.010621729777976058,0.2630354789907978,0.0217478835978836,0.9566986708657665,0.9587030782978003,0.00010904049473298323,0.00011433293709979051,True
2019-09-30,2018-04-02,2019-09-30,378,0.11503051912221618,4.771790552878431e-06,0.1697677208730554,0.7769055677995766,0.006759304612784061,0.2654030205501618,0.02184656084656085,0.946673288672632,0.9489196586065217,8.948218320805175e-05,9.34173582772427e-05,True
2019-10-31,2018-05-01,2019-10-31,380,0.13531055174503687,4.972525762379427e-06,0.19943253408005415,0.7523418281137275,0.005515177632418934,0.3086633416764758,0.021759473684210526,0.9517743621937816,0.9554257615739385,0.00010310959042906125,0.00011155604532936034,True
2019-11-30,2018-05-31,2019-11-29,379,0.15005272162916164,4.302268082566643e-06,0.21209513100399363,0.7514109303201113,0.005336975620812949,0.3376937119689814,0.02159419525065963,0.9635060613241049,0.9682815569614812,0.00011788993566233962,0.0001356393211779652,True
2019-12-31,2018-07-02,2019-12-31,378,0.16959046947109419,3.898182872696787e-06,0.21869537575668005,0.7515637040230249,0.005468708225663623,0.37854322973390125,0.021394708994708994,0.9702590797797049,0.9765489615904365,0.00013107136039579184,0.00016622645038639634,True
2020-01-31,2018-08-01,2020-01-31,378,0.15445313286110665,4.353115620935506e-06,0.22417267218839554,0.7481105092172976,0.008004256759868017,0.35071909096874504,0.021148941798941803,0.9722831814056931,0.977630993169885,0.00015705682837025359,0.00019460477856687774,True
2020-02-29,2018-08-30,2020-02-28,376,0.14511086379611055,5.816914379428867e-06,0.2895255918219769,0.7002782743039913,0.03136275404762097,0.3522705116256629,0.020886436170212772,0.9898038661259682,0.9959004536453133,0.0005705019619489061,0.001418916601047543,True
2020-03-31,2018-10-01,2020-03-31,377,0.1424306919956004,3.29792483597069e-06,0.23834796450697462,0.7616510354929897,0.04867048524273911,0.4211388822557595,0.01980026525198939,0.9999989999999643,1.004834246463957,3.29792471834389,,False
2020-04-30,2018-10-31,2020-04-30,376,0.16936661511085932,4.3959732972628326e-06,0.31080998257473524,0.6891890174250476,0.018134117422709595,0.5283798407799942,0.018591223404255317,0.9999989999997828,1.0089145999880667,4.395972342508724,,False
2020-05-31,2018-12-03,2020-05-29,374,0.18645156343912916,4.526691676917361e-06,0.32586192415827864,0.673130310951884,0.010650334977385309,0.5882697679056995,0.017363636363636362,0.9989922351101627,1.0103205594918867,0.00449181324192393,,False
2020-06-30,2018-12-31,2020-06-30,378,0.18962336964322474,4.265570502240967e-06,0.2953441899243332,0.7046548100756275,0.01813198668256714,0.5962264004049651,0.016125132275132275,0.9999989999999607,1.0106186976276315,4.26557033447331,,False
2020-07-31,2019-02-01,2020-07-31,378,0.18209687221296567,4.482556831762335e-06,0.3087354197088645,0.6912635802911112,0.00879261135472458,0.5677185745645192,0.014787566137566136,0.9999989999999757,1.0102364414091864,4.482556723142734,,False
2020-08-31,2019-03-01,2020-08-31,380,0.19288917398930272,4.532889350432796e-06,0.3085303248907169,0.6914686751092782,0.0066560613034608905,0.6027212075912066,0.013548421052631581,0.9999989999999952,1.0114782512919003,4.5328893286626215,,False
