date,window_start,window_end,n_days,mu,sigma
2018-10-01,2017-04-03,2018-10-01,378,0.3943880647959184,0.20073118052031194
2018-10-31,2017-05-01,2018-10-31,381,0.3133087946449778,0.22303146808354118
2018-11-30,2017-05-31,2018-11-30,381,0.31859787469502643,0.23212186377417662
2018-12-31,2017-07-03,2018-12-31,377,0.27749631811374526,0.2483822108724676
2019-01-31,2017-08-01,2019-01-31,378,0.25977501672435466,0.25642053505684476
2019-02-28,2017-08-29,2019-02-28,377,0.3055238540128025,0.2581275243440004
2019-03-31,2017-10-02,2019-03-29,375,0.32655543954941024,0.2601439166723639
2019-04-30,2017-10-31,2019-04-30,375,0.31521314292827307,0.2567788267335093
2019-05-31,2017-12-01,2019-05-31,375,0.2755056662986388,0.2608605235010289
2019-06-30,2018-01-02,2019-06-28,375,0.3183106355742028,0.2628986159843327
2019-07-31,2018-02-01,2019-07-31,376,0.25855153345751053,0.26186475758649047
2019-08-31,2018-03-01,2019-08-30,379,0.27204784642230334,0.2557244390853042
2019-09-30,2018-04-02,2019-09-30,378,0.2964166891122583,0.24363639949012672
