date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2014-01-02,2012-07-03,2014-01-02,379,0.2676977919169034,0.21762627036309592,3.9894459102902373,0.025837165628138942,0.07279439743516591,0.0288963035573353,0.029952692807872855,0.03313947972408715,24,True,True
2014-01-31,2012-08-01,2014-01-31,379,0.3157428896746503,0.21698888521210238,3.9894459102902373,-0.006202711327532547,0.08730009510943303,-0.0023891993335174444,0.1664325304716138,0.18559313327957327,24,True,True
2014-02-28,2012-08-29,2014-02-28,378,0.28679096709063473,0.22201130417423204,4.0,-0.006202711327532547,0.08730009510943303,-0.0023891993335174444,-0.034068739103334855,-0.029804892346568912,23,True,True
2014-03-31,2012-10-01,2014-03-31,377,0.2152085130984124,0.22289777172549197,4.010610079575597,-0.006202711327532547,0.08730009510943303,-0.0023891993335174444,0.045822654350062345,0.050885673980527235,23,True,True
2014-04-30,2012-10-31,2014-04-30,377,0.30696327003933566,0.22917710638775635,4.010610079575597,-0.034623579152794313,0.0866664238176248,-0.030396490988987557,0.08222327447351672,0.08978323444450242,24,True,True
2014-05-31,2012-12-03,2014-05-30,376,0.2880145124135643,0.2314253245129509,4.0212765957446805,-0.034623579152794313,0.0866664238176248,-0.030396490988987557,-0.03432457820333915,-0.03010653527284124,24,True,True
2014-06-30,2012-12-31,2014-06-30,378,0.33118820245238867,0.23347471786983137,4.0,-0.034623579152794313,0.0866664238176248,-0.030396490988987557,0.003893821623626646,0.007678687197136824,24,True,True
2014-07-31,2013-02-01,2014-07-31,378,0.3189063202137964,0.2364615477255077,3.3333333333333335,-0.061495114700250396,0.08585513267169848,-0.056170329394355845,-0.04037444928147299,-0.036024015839443035,24,True,True
2014-08-31,2013-03-01,2014-08-29,380,0.37405022607551885,0.23294954249494995,3.3157894736842106,-0.061495114700250396,0.08585513267169848,-0.056170329394355845,-0.037420669561228824,-0.03317243372721379,24,True,True
2014-09-30,2013-04-01,2014-09-30,381,0.3338034400789018,0.23319143774039783,3.3070866141732282,-0.061495114700250396,0.08585513267169848,-0.056170329394355845,-0.11887578638806245,-0.10880340854465043,24,True,True
2014-10-31,2013-05-01,2014-10-31,382,0.33731495647958387,0.23130219615497047,3.298429319371728,-0.06388020035395803,0.08649297814170577,-0.05836700546036666,-0.034076721300473234,-0.02988067895807689,24,True,True
2014-11-30,2013-05-31,2014-11-28,380,0.3747924011492213,0.23209751955936933,3.3157894736842106,-0.06388020035395803,0.08649297814170577,-0.05836700546036666,0.031921810023332366,0.03630585557705812,24,True,True
2014-12-31,2013-07-01,2014-12-31,381,0.28859114463848606,0.2357305554464317,3.3070866141732282,-0.06388020035395803,0.08649297814170577,-0.05836700546036666,-0.177928653322897,-0.159861177307125,24,True,True
