date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa
2018-10-01,2017-04-03,2018-10-01,378,0.7009682124693375,5.9713838660898604e-05,0.13500809161375296,0.6153061212218294,0.014299727889468435,1.3333333333333333,0.04062862329740291,0.11808975276118558,0.04875234852274901
2018-10-31,2017-05-01,2018-10-31,381,0.680813991384286,5.3518405464849445e-05,0.18408037205283842,0.6541559575756132,0.04079268219947683,2.645669291338583,-0.010785323644445954,0.09041043495243219,-0.0066759166623067134
2018-11-30,2017-05-31,2018-11-30,381,0.6879377731914903,4.3750505339317524e-05,0.16981010988999415,0.7174993900765084,0.02805918372781741,2.645669291338583,-0.010785323644445954,0.09041043495243219,-0.0066759166623067134
2018-12-31,2017-07-03,2018-12-31,377,0.7915571805417339,3.9716268805488404e-05,0.21060053431898584,0.717126601581525,0.03755110407328509,2.673740053050398,-0.010785323644445954,0.09041043495243219,-0.0066759166623067134
2019-01-31,2017-08-01,2019-01-31,378,0.7947713244803869,4.031192601547569e-05,0.1979034804991012,0.7297320966658718,0.02812536121372602,1.3333333333333333,0.030316211233807344,0.13267370576230234,0.03989252590170711
2019-02-28,2017-08-29,2019-02-28,377,0.8496703902485511,4.334558538241851e-05,0.21807150329947184,0.7066862453077803,0.013093399704773459,2.673740053050398,-0.010785323644445954,0.09041043495243219,-0.0066759166623067134
2019-03-31,2017-10-02,2019-03-29,375,0.8905603714135477,4.8765301720361306e-05,0.2109711361405512,0.7020486346962992,0.016391705409576914,2.6879999999999997,-0.010785323644445954,0.09041043495243219,-0.0066759166623067134
2019-04-30,2017-10-31,2019-04-30,375,0.661837196037021,1.556903188519002e-05,0.25710899340635823,0.7287209155041435,0.014919256862244525,2.016,-0.024385018163154786,0.05093927984381988,-0.022823133420635133
2019-05-31,2017-12-01,2019-05-31,375,0.6252405242634776,1.6260020089404688e-05,0.2316473671688073,0.7478559139430075,0.013531771340031903,2.016,-0.024385018163154786,0.05093927984381988,-0.022823133420635133
2019-06-30,2018-01-02,2019-06-28,375,0.6707966089147984,1.892926036502844e-05,0.229659593763106,0.7429531685058713,0.012584997788566418,1.3439999999999999,-0.053185853732269806,0.014583953001116767,-0.051695388213613525
2019-07-31,2018-02-01,2019-07-31,376,0.5847836244931404,1.639724179014967e-05,0.22683013873146698,0.7464116193505955,0.01480316727373133,1.3404255319148937,-0.015140806410395058,0.06838777490483823,-0.012720760891435479
2019-08-31,2018-03-01,2019-08-30,379,0.5018189025868564,1.5296976014856176e-05,0.21015741718908862,0.7666313640099874,0.015053015690986854,1.3298153034300793,-0.015140806410395058,0.06838777490483823,-0.012720760891435479
2019-09-30,2018-04-02,2019-09-30,378,0.40757861160228476,1.3424685751998206e-05,0.16129471905838205,0.8048020476724538,0.015464462353002226,2.0,-0.025934175488682303,0.05184529222984275,-0.024290332186942654
