date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u
2018-10-01,2017-04-03,2018-10-01,378,0.6148648648648649,0.3851351351351351,0.5445859872611465,0.4554140127388535,0.010989961789571507,0.011217706725614309,0.010410369591655434,0.010565342497138181,1.0,0.5873015873015873
2018-10-31,2017-05-01,2018-10-31,381,0.5967741935483871,0.4032258064516129,0.5303030303030303,0.4696969696969697,0.011775847916846499,0.012329885077996905,0.012247729134247862,0.01378146972255263,1.0,0.5695538057742782
2018-11-30,2017-05-31,2018-11-30,381,0.5892018779342723,0.41079812206572774,0.5267857142857143,0.4732142857142857,0.012669670358845232,0.013697668904383186,0.012997037159283038,0.014215100786186053,1.0,0.5605263157894737
2018-12-31,2017-07-03,2018-12-31,377,0.5947867298578199,0.4052132701421801,0.5210843373493976,0.4789156626506024,0.01338836934626916,0.014877777367401581,0.01445845552702049,0.015674794385200023,1.0,0.5611702127659575
2019-01-31,2017-08-01,2019-01-31,378,0.6032863849765259,0.39671361502347413,0.5121212121212122,0.48787878787878786,0.013990762712431219,0.015340224798818922,0.014793606841559717,0.015751593121718376,1.0,0.5649867374005305
2019-02-28,2017-08-29,2019-02-28,377,0.6059907834101382,0.39400921658986177,0.528125,0.471875,0.013894938927622903,0.015330598858094952,0.01532014142873539,0.01611952346325412,0.0,0.574468085106383
2019-03-31,2017-10-02,2019-03-29,375,0.6123853211009175,0.3876146788990825,0.5445859872611465,0.4554140127388535,0.014038114122763127,0.015311139456377265,0.015665753626851072,0.016347258880685136,1.0,0.5828877005347594
2019-04-30,2017-10-31,2019-04-30,375,0.6004566210045662,0.3995433789954338,0.5608974358974359,0.4391025641025641,0.013651061399609865,0.013392903462129754,0.015547061846990532,0.016398136868127695,0.0,0.5828877005347594
2019-05-31,2017-12-01,2019-05-31,375,0.5957943925233645,0.4042056074766355,0.5372670807453417,0.46273291925465837,0.013796352620358098,0.013573686900988787,0.01569900411256832,0.016227293516374554,0.0,0.56951871657754
2019-06-30,2018-01-02,2019-06-28,375,0.5921658986175116,0.40783410138248843,0.5537974683544304,0.4462025316455696,0.013961725075379454,0.013587081102710988,0.01603663038157528,0.016504998521608055,0.0,0.5775401069518716
2019-07-31,2018-02-01,2019-07-31,376,0.5825471698113207,0.4174528301886793,0.5396341463414633,0.4603658536585366,0.013643565831308435,0.013727581554861326,0.016016796279527987,0.01615709180984622,0.0,0.5626666666666666
2019-08-31,2018-03-01,2019-08-30,379,0.5758293838862559,0.42417061611374407,0.5327380952380952,0.46726190476190477,0.013345115276204448,0.01352754549536298,0.01572427455840603,0.015806483777198958,0.0,0.5555555555555556
2019-09-30,2018-04-02,2019-09-30,378,0.5697115384615384,0.43028846153846156,0.5323529411764706,0.4676470588235294,0.013151077195032548,0.013457567423124504,0.015110175203799517,0.015536683523643312,1.0,0.5517241379310345
