date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa
2019-09-03,2018-03-05,2019-09-03,378,0.2125056657043781,4.704857621175914e-06,0.1658369158653531,0.7903472334084278,0.010701602592230179,3.3333333333333335,-0.029199980358307086,0.004139444727819469,-0.02876945933950481
2019-09-30,2018-04-02,2019-09-30,378,0.21050736829858793,4.416682547993104e-06,0.17220520225743569,0.782502659361482,0.006779004567361356,3.3333333333333335,-0.030376641178308184,0.003605619922973997,-0.02991360159515566
2019-10-31,2018-05-01,2019-10-31,380,0.24071577763226018,4.3789149260484815e-06,0.18469372346135848,0.769286188837277,0.005474882719680309,3.3157894736842106,-0.030376641178308184,0.003605619922973997,-0.02991360159515566
2019-11-30,2018-05-31,2019-11-29,379,0.26774910355646275,4.2313633715752074e-06,0.1948118698492896,0.7592432433168083,0.0052427706148128455,3.324538258575198,-0.030376641178308184,0.003605619922973997,-0.02991360159515566
2019-12-31,2018-07-02,2019-12-31,378,0.2948076737333901,4.231362540035816e-06,0.1948119309580075,0.7592422452042812,0.005579235438900528,3.3333333333333335,-0.030376641178308184,0.003605619922973997,-0.02991360159515566
2020-01-31,2018-08-01,2020-01-31,378,0.28654345214604127,4.76320932158012e-06,0.2225719626023668,0.738248945867499,0.00800486961293967,3.3333333333333335,-0.030376641178308184,0.003605619922973997,-0.02991360159515566
2020-02-29,2018-08-30,2020-02-28,376,0.3119545505292285,5.362373585465903e-06,0.3023030360295015,0.6975347541642969,0.030884333146356035,3.351063829787234,-0.03061054409259629,0.0038263245163159512,-0.03013968568264458
2020-03-31,2018-10-01,2020-03-31,377,0.3034491143531891,3.195249933905028e-06,0.23573696754183684,0.7620794422923154,0.049264350797473995,2.673740053050398,-0.030432065742855396,0.004394160776535049,-0.02996430715899734
2020-04-30,2018-10-31,2020-04-30,376,0.3379959415943974,4.238597248437925e-06,0.31051918207985113,0.6875186090933622,0.01864191359249536,2.6808510638297873,-0.030266610176264974,0.0042566864484872265,-0.02980437298762706
2020-05-31,2018-12-03,2020-05-29,374,0.358389767092579,4.238596479226978e-06,0.310519284665778,0.6875175096374784,0.010992958229160455,2.021390374331551,-0.029450857000433334,0.0048152206406171846,-0.029010149940756236
2020-06-30,2018-12-31,2020-06-30,378,0.35727782596428437,4.238597652375716e-06,0.3105190762206834,0.6875167203908046,0.018084392376807163,2.6666666666666665,-0.037188758004126576,0.01596740474582656,-0.03638291594860221
2020-07-31,2019-02-01,2020-07-31,378,0.3365338949117602,4.310033378815335e-06,0.301268519171447,0.6967434484992011,0.00873378182168589,2.6666666666666665,-0.037188758004126576,0.01596740474582656,-0.03638291594860221
2020-08-31,2019-03-01,2020-08-31,380,0.36833556698778624,4.29416198248612e-06,0.29788544083190904,0.7001195852588592,0.00646275186001066,2.6526315789473687,-0.037188758004126576,0.01596740474582656,-0.03638291594860221
