date,window_start,window_end,n_days,lambda,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa,sigma,mu_p,rf_mean,persist_p,persist_q,uncond_var_p,uncond_var_q,q_stationary,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2014-01-02,2012-07-03,2014-01-02,379,0.036365072812011165,6.447975400425817e-06,0.038131414900748124,0.9440917220975014,0.015170399246920735,3.9894459102902373,-0.031872895529354496,0.07669832920474735,-0.02851706766075579,0.30233219252660054,0.12479675783015119,0.0007015831134564644,0.9822231369982495,0.9822735626875317,0.0003627172803092915,0.0003637490876912136,True,-0.040501181986384284,-0.036863242317081046,24,True,True
2014-01-31,2012-08-01,2014-01-31,379,0.007916018417525834,1.191976771686597e-05,0.032596291102424554,0.9364734425653221,0.021614073163786118,4.654353562005277,-0.039220056915494225,0.07266402284054363,-0.03591906151086177,0.31163220796130037,-0.007241059353059053,0.0006725593667546174,0.9690697336677466,0.969071776260466,0.0003853755279318855,0.0003854009792883624,True,0.020022925530756876,0.022921711444140902,24,True,True
2014-02-28,2012-08-29,2014-02-28,378,-0.007304410890105141,9.764261271366778e-06,0.018423523707242175,0.9540316728202372,0.017832616945178435,4.666666666666667,-0.039220056915494225,0.07266402284054363,-0.03591906151086177,0.29888225223447445,-0.07818149909403692,0.0006465608465608465,0.9724551965274794,0.9724561795038725,0.0003544865107172698,0.0003544991615356914,True,-0.027359479367825557,-0.02441642566796909,24,True,True
2014-03-31,2012-10-01,2014-03-31,377,0.00036034970019506365,4.8330823116099775e-06,0.01830570089097039,0.9660407917888962,0.015004326629984278,4.679045092838196,-0.039220056915494225,0.07266402284054363,-0.03591906151086177,0.2789372634339559,-0.039741342040605226,0.0006161803713527851,0.9843464926798666,0.9843464950568968,0.00030875395607946076,0.00030875400296464454,True,-0.04134986086727848,-0.037970179888149325,24,True,True
2014-04-30,2012-10-31,2014-04-30,377,0.0157469040350129,8.35575772971256e-43,1.645377308551672e-129,0.9990113862342187,0.015384968136803153,4.679045092838196,-0.03511884310491104,0.07907221994647934,-0.03148628496101813,1.5874507866387544e-07,0.03154144216716466,0.0005721485411140584,0.9990113862342187,0.9990113862342187,8.451994114313214e-40,8.451994114313214e-40,True,-0.01856203795082417,-0.015317308154942255,24,True,True
2014-05-31,2012-12-03,2014-05-30,376,0.03434497905459477,1.0011071014101175e-18,6.662146477256202e-23,0.9988643485936216,0.014398635737484074,5.361702127659575,-0.02710856231151798,0.07585908568510075,-0.02394004179711784,4.7132233426600345e-07,0.1068563197168222,0.0005367021276595745,0.9988643485936216,0.9988643485936216,8.815267570553741e-16,8.815267570553741e-16,True,0.018498322376263983,0.021605717993503415,24,True,True
2014-06-30,2012-12-31,2014-06-30,378,0.06229385740594222,1.4967011625290069e-18,5.287714307295765e-24,0.9987251259225364,0.013481518716232519,4.666666666666667,-0.021478174035554076,0.08011131310778558,-0.018103391461753993,5.439189291255258e-07,0.21035936776270353,0.0005179894179894181,0.9987251259225364,0.9987251259225364,1.1739992121470582e-15,1.1739992121470582e-15,True,-0.04942429600832922,-0.04516371714641332,24,True,True
2014-07-31,2013-02-01,2014-07-31,378,0.08591207659566996,2.0966790992239627e-19,6.80150570478804e-28,0.9994816506931442,0.013711346726825217,4.666666666666667,0.003994996624957154,0.06631539082888772,0.006213083784432305,3.1926770638413443e-07,0.2861683819412713,0.0004907407407407407,0.9994816506931442,0.9994816506931442,4.044915410308963e-16,4.044915410308963e-16,True,0.02866915593694573,0.03134937892624334,23,True,True
2014-08-31,2013-03-01,2014-08-29,380,0.10898201330913135,1.2071024496424412e-19,1.3872812518200915e-22,0.999278573185978,0.012808237894054565,4.6421052631578945,0.003994996624957154,0.06631539082888772,0.006213083784432305,2.053412474055358e-07,0.3536312003760682,0.00045684210526315784,0.999278573185978,0.999278573185978,1.6732153923040265e-16,1.6732153923040265e-16,True,0.061002675759348396,0.06524150774565252,24,True,True
2014-09-30,2013-04-01,2014-09-30,381,0.1017377130241323,5.440452705682097e-21,5.367324084947235e-16,0.9994877239146122,0.013335939973352102,5.952755905511811,-0.006004168136630196,0.060770953436425225,-0.004148982835288195,1.5874507866387544e-07,0.3347849405869226,0.00042099737532808393,0.9994877239146127,0.9994877239146127,1.0620157490992486e-17,1.0620157490992486e-17,True,0.02888337483032375,0.031206967407049202,24,True,True
