date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u
2014-01-02,2012-07-03,2014-01-02,379,0.4572192513368984,0.5427807486631016,0.5261780104712042,0.4738219895287958,0.013215600730699528,0.010964420755408606,0.013053619047505521,0.014178718016355263,0.0,0.493368700265252
2014-01-31,2012-08-01,2014-01-31,379,0.4543010752688172,0.5456989247311828,0.5338541666666667,0.4661458333333333,0.013029368287992693,0.010968118749069044,0.013553439606209404,0.014862455804066694,1.0,0.493368700265252
2014-02-28,2012-08-29,2014-02-28,378,0.45135135135135135,0.5486486486486486,0.5286458333333333,0.4713541666666667,0.013046808495416283,0.010925645247226706,0.013614248342204392,0.014802215122873968,0.0,0.48936170212765956
2014-03-31,2012-10-01,2014-03-31,377,0.453804347826087,0.5461956521739131,0.5234375,0.4765625,0.012831629248601727,0.010945736691057391,0.013178533265539152,0.014843026101784892,0.0,0.488
2014-04-30,2012-10-31,2014-04-30,377,0.4625668449197861,0.5374331550802138,0.5289473684210526,0.4710526315789474,0.01302009132200222,0.011898334167355609,0.012682631745894537,0.014755538256755144,0.0,0.4946808510638298
2014-05-31,2012-12-03,2014-05-30,376,0.4895287958115183,0.5104712041884817,0.5216216216216216,0.4783783783783784,0.012451307262582716,0.011045106563229157,0.012167674331514538,0.014651441243372096,0.0,0.5066666666666667
2014-06-30,2012-12-31,2014-06-30,378,0.5077319587628866,0.49226804123711343,0.5190217391304348,0.48097826086956524,0.01219732468881205,0.010869797378699335,0.011397715455809457,0.014044541591561885,1.0,0.5145888594164456
2014-07-31,2013-02-01,2014-07-31,378,0.5101522842639594,0.4898477157360406,0.5331491712707183,0.46685082872928174,0.011652219739865499,0.01036518462502002,0.010291585837192897,0.010578044495280587,0.0,0.519893899204244
2014-08-31,2013-03-01,2014-08-29,380,0.5341463414634147,0.46585365853658534,0.5514285714285714,0.44857142857142857,0.011046584990185281,0.010107933332337397,0.010018555706067222,0.010573722203215124,1.0,0.5408970976253298
2014-09-30,2013-04-01,2014-09-30,381,0.5266990291262136,0.4733009708737864,0.5628571428571428,0.43714285714285717,0.010861052522098503,0.010100006263230087,0.009977741103312187,0.01087235252674584,1.0,0.5421052631578948
2014-10-31,2013-05-01,2014-10-31,382,0.5266990291262136,0.4733009708737864,0.5628571428571428,0.43714285714285717,0.010719687533822093,0.009961018594528978,0.009412573084258214,0.01003151193020879,1.0,0.5421052631578948
2014-11-30,2013-05-31,2014-11-28,380,0.5360576923076923,0.4639423076923077,0.564327485380117,0.43567251461988304,0.010641059430505693,0.009903895904125179,0.009109811004716133,0.00990686450810347,0.0,0.5476190476190477
2014-12-31,2013-07-01,2014-12-31,381,0.5360576923076923,0.4639423076923077,0.5552325581395349,0.44476744186046513,0.011017410009995612,0.009985524961977823,0.009187718983477873,0.010050492121736284,0.0,0.5461741424802111
