date,window_start,window_end,n_days,mu,sigma
2014-01-02,2012-07-03,2014-01-02,379,-0.023364523865930048,0.28921172122405514
2014-01-31,2012-08-01,2014-01-31,379,-0.10987230799809374,0.29531344490009726
2014-02-28,2012-08-29,2014-02-28,378,-0.14221527903109826,0.29532653407575415
2014-03-31,2012-10-01,2014-03-31,377,-0.12171548830591282,0.29206276652935603
2014-04-30,2012-10-31,2014-04-30,377,0.00804592162190328,0.2945294281899437
2014-05-31,2012-12-03,2014-05-30,376,0.07689259148205511,0.2832213607940665
2014-06-30,2012-12-31,2014-06-30,378,0.18699937414427126,0.272549506639392
2014-07-31,2013-02-01,2014-07-31,378,0.2807053549878157,0.24032502677040615
2014-08-31,2013-03-01,2014-08-29,380,0.3457182894561476,0.23342881670909987
2014-09-30,2013-04-01,2014-09-30,381,0.3315353454833195,0.2336553247431719
2014-10-31,2013-05-01,2014-10-31,382,0.376329619521514,0.2241830608757445
2014-11-30,2013-05-31,2014-11-28,380,0.4276848639938722,0.22095641878954705
2014-12-31,2013-07-01,2014-12-31,381,0.4632012707127197,0.22475313269294656
