date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u
2014-01-02,2012-07-03,2014-01-02,379,0.4921052631578947,0.5078947368421053,0.5276243093922652,0.4723756906077348,0.008490316127494592,0.010084154421721742,0.00469300584712712,0.011444487916759385,0.0,0.5108108108108108
2014-01-31,2012-08-01,2014-01-31,379,0.4921875,0.5078125,0.5502793296089385,0.44972067039106145,0.008589740782853766,0.010060815447535568,0.0047720961358958015,0.011536148110453231,1.0,0.518918918918919
2014-02-28,2012-08-29,2014-02-28,378,0.5077319587628866,0.49226804123711343,0.5426136363636364,0.45738636363636365,0.008507723674868458,0.009977832288351843,0.005286521213268514,0.011758356306759215,1.0,0.5257452574525745
2014-03-31,2012-10-01,2014-03-31,377,0.5101522842639594,0.4898477157360406,0.5603448275862069,0.4396551724137931,0.00876747147557911,0.010093803852317047,0.00522906637054263,0.011786607121921578,1.0,0.5324324324324324
2014-04-30,2012-10-31,2014-04-30,377,0.5100502512562815,0.48994974874371855,0.5578034682080926,0.4421965317919075,0.00890174050076896,0.010156613530967458,0.0051171921504994285,0.011799950969930924,0.0,0.5336927223719676
2014-05-31,2012-12-03,2014-05-30,376,0.5150753768844221,0.48492462311557794,0.5668604651162791,0.4331395348837209,0.00879534912211427,0.00997923117288725,0.004094629885531671,0.011661905899142379,1.0,0.5378378378378378
2014-06-30,2012-12-31,2014-06-30,378,0.5173267326732673,0.48267326732673266,0.564327485380117,0.43567251461988304,0.00859577292450444,0.009973279222417693,0.0034633420548216007,0.011682984315882463,0.0,0.5403225806451613
2014-07-31,2013-02-01,2014-07-31,378,0.5197044334975369,0.4802955665024631,0.564327485380117,0.43567251461988304,0.008209755024531123,0.01005874528721408,0.0026731086043988526,0.011688071920650673,0.0,0.5415549597855228
2014-08-31,2013-03-01,2014-08-29,380,0.5269607843137255,0.4730392156862745,0.561046511627907,0.438953488372093,0.008216229150471495,0.00999110862083075,0.001963782923937288,0.011662230921623763,1.0,0.544
2014-09-30,2013-04-01,2014-09-30,381,0.5220588235294118,0.4779411764705882,0.5545977011494253,0.4454022988505747,0.008599499472267721,0.009979141473832364,0.0027709925326314753,0.011605692058385202,0.0,0.5384615384615384
2014-10-31,2013-05-01,2014-10-31,382,0.5222772277227723,0.4777227722772277,0.5508474576271186,0.4491525423728814,0.0085608964357499,0.009462298055949565,0.004244169473855823,0.011457271371429614,1.0,0.5343915343915344
2014-11-30,2013-05-31,2014-11-28,380,0.5126262626262627,0.48737373737373735,0.5446927374301676,0.4553072625698324,0.008375997668845954,0.009469045736667263,0.0031830186632773377,0.011483558618885595,1.0,0.526595744680851
2014-12-31,2013-07-01,2014-12-31,381,0.5251256281407035,0.4748743718592965,0.5279329608938548,0.4720670391061452,0.008252854284662705,0.009613367780353207,0.0035533803214125277,0.011413981228893687,0.0,0.5251989389920424
