date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0
2018-10-01,2017-04-03,2018-10-01,378,0.34262751443373574,4.4887378916516374e-05,0.12090028005776586,0.6153860347411618,0.012467589833650188
2018-10-31,2017-05-01,2018-10-31,381,0.3131087981397058,4.5598611956996564e-05,0.12636109147600225,0.6382926969722101,0.014965804844185865
2018-11-30,2017-05-31,2018-11-30,381,0.25275406768621383,2.545895798217157e-05,0.13803003626097474,0.7556419794433168,0.020830001326098805
2018-12-31,2017-07-03,2018-12-31,377,0.3117035975302762,2.2518108787205183e-05,0.1761262845200458,0.7505208943852562,0.028083533041557144
2019-01-31,2017-08-01,2019-01-31,378,0.29335609944463326,1.0975067952456205e-05,0.11523821095917317,0.8558433167576265,0.028930597904665088
2019-02-28,2017-08-29,2019-02-28,377,0.29116016491097,1.634377925829726e-05,0.16875424325337374,0.7911027980976941,0.010793832820414987
2019-03-31,2017-10-02,2019-03-29,375,0.42608338919991673,1.7361226540051273e-05,0.1627446965629676,0.7976829477925103,0.015595498080371138
2019-04-30,2017-10-31,2019-04-30,375,0.4340483977190076,1.6478219423142257e-05,0.16722853677202154,0.7924983012972437,0.01113813287154392
2019-05-31,2017-12-01,2019-05-31,375,0.43410512804552603,2.0353952253617142e-05,0.1931327534584122,0.7693553477115077,0.01568145793096016
2019-06-30,2018-01-02,2019-06-28,375,0.551364066424197,2.0353962518829562e-05,0.19313277650943564,0.769354376145517,0.014513249365036096
2019-07-31,2018-02-01,2019-07-31,376,0.5869620320242325,1.7786550631497208e-05,0.1762153453133155,0.7848041577679559,0.012003419259830575
2019-08-31,2018-03-01,2019-08-30,379,0.5227757444391202,1.8211977123360335e-05,0.1768884322105306,0.7914305123576549,0.020253331333619437
2019-09-30,2018-04-02,2019-09-30,378,0.5796296850327554,1.643775893729612e-05,0.15831350177666162,0.8086135492435721,0.013218667649568121
