date,window_start,window_end,n_days,lambda,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa,sigma,mu_p,rf_mean,persist_p,persist_q,uncond_var_p,uncond_var_q,q_stationary,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2018-10-01,2017-04-03,2018-10-01,378,0.16892801257982476,2.9759463767181152e-06,0.21654808469207862,0.7215727281449753,0.004364930309278485,3.3333333333333335,-0.024139790747237554,0.010693709647073174,-0.023794940835407785,0.11008813666776524,0.27226001899823477,0.014554232804232802,0.938120812837054,0.9443003748127067,4.809284855151015e-05,5.342848119195268e-05,True,-0.001956817367525288,-0.0018978364810827708,24,True,True
2018-10-31,2017-05-01,2018-10-31,381,0.16608966323858182,3.1178115823409997e-06,0.2150108013991859,0.7527541037778543,0.015369707079513788,4.6299212598425195,-0.026485586171124176,0.009624826565488277,-0.02609281016930587,0.156120785386529,0.3013783347633545,0.01536062992125984,0.9677649051770403,0.9736961450324829,9.672103027661367e-05,0.00011853059508544353,True,-0.05425034440389557,-0.052761174336625194,24,True,True
2018-11-30,2017-05-31,2018-11-30,381,0.1694640709700086,2.5000733697333114e-06,0.22000800297127185,0.7659558479921535,0.012335592873707045,3.3070866141732282,-0.027219010107134168,0.010693077276779742,-0.026796273691368278,0.21186180205316207,0.32561387263708946,0.016172965879265092,0.9859638509634254,0.9922820564902656,0.00017811675860798904,0.0003239299907520752,True,-0.0010752607138616714,-0.0010175716854866623,24,True,True
2018-12-31,2017-07-03,2018-12-31,377,0.15052357660437266,2.373603620631778e-06,0.22675652819903075,0.7732424718005068,0.02304682451145534,4.010610079575597,-0.028134820039905122,0.009823734947336387,-0.0276958064505769,24.457061060710497,0.3190730617710859,0.01695119363395225,0.9999989999995376,1.005136701369257,2.373602522727467,,False,-3.832076311022294e-05,9.932170371262927e-06,24,True,True
2019-01-31,2017-08-01,2019-01-31,378,0.15500827204652928,1.9594082907371855e-06,0.20344931843983213,0.7965496815597402,0.010076814388130318,3.3333333333333335,-0.030927230323972134,0.00788356178609477,-0.03042374655480984,22.220951331719267,0.3467994948606661,0.01767804232804233,0.9999989999995723,1.0048873916011014,1.9594074527247471,,False,-4.206705064755652e-05,-1.099171702056978e-05,24,True,True
2019-02-28,2017-08-29,2019-02-28,377,0.1864645018247597,2.1031472896735963e-06,0.2320282108325642,0.7679707891673457,0.004743859866481033,3.3421750663129974,-0.030927230323972134,0.00788356178609477,-0.03042374655480984,23.021578339949105,0.4149396937885866,0.0184053050397878,0.9999989999999099,1.0080663912848973,2.1031471002476736,,False,0.0,3.1075756058873694e-05,24,True,True
2019-03-31,2017-10-02,2019-03-29,375,0.16553465998499078,3.178231932466695e-06,0.25156936965394033,0.7461105208428443,0.008158923951035608,3.36,-0.030927230323972134,0.00788356178609477,-0.03042374655480984,0.5875418715360587,0.38271538918730347,0.0192376,0.9976798904967847,1.0045733248444433,0.0013698629000321212,,False,-0.00013851980327379834,-0.00010743875809937631,23,True,True
2019-04-30,2017-10-31,2019-04-30,375,0.16568449404305807,3.8322075996920755e-06,0.23599791028899425,0.744546536310164,0.0049650565418748556,3.36,-0.030927230323972134,0.00788356178609477,-0.03042374655480984,0.22279374309614056,0.38337436716196366,0.01998986666666667,0.9805444465991582,0.9870229082034145,0.00019697242842376617,0.0002953055784579106,True,-0.0002993408101630747,-0.0002682295569638171,24,True,True
2019-05-31,2017-12-01,2019-05-31,375,0.11456765578971229,4.998985681377571e-06,0.2190762678664509,0.7491182749716468,0.00811245650647992,4.704,-0.030041166197391483,0.006913994645181905,-0.029571220599117543,0.19901710092878236,0.27674600494326285,0.020668799999999998,0.9681945428380978,0.9710700826688143,0.00015717383516705214,0.00017279640394923633,True,-0.00045639956860105894,-0.00043240439388614327,24,True,True
2019-06-30,2018-01-02,2019-06-28,375,0.12666773037679288,5.785268708057938e-06,0.20174422007150553,0.7514883311192303,0.007060616174379696,4.032,-0.03149110106896247,0.006301156468238613,-0.03098118347605472,0.17655913738335222,0.30951548865504414,0.02113706666666667,0.9532325511907358,0.9564694794865561,0.0001237028928315613,0.0001329014365052499,True,-0.00040866366607828874,-0.00038873580231058025,24,True,True
2019-07-31,2018-02-01,2019-07-31,376,0.10545060461398306,4.677097489075497e-06,0.1670355887452699,0.7836429750352298,0.006163612203155477,4.0212765957446805,-0.03149110106896247,0.006301156468238613,-0.03098118347605472,0.1545861653702941,0.2529179824291409,0.021535904255319146,0.9506785637804998,0.9525359711335444,9.4828898904333e-05,9.85398332331825e-05,True,-0.00036072093570390447,-0.0003408105601676592,24,True,True
2019-08-31,2018-03-01,2019-08-30,379,0.10780918743242278,4.6833264313576355e-06,0.16650679741160068,0.7906367761391737,0.011719514089021684,3.324538258575198,-0.029199980358307086,0.004139444727819469,-0.02876945933950481,0.1659470390024927,0.2596289134620178,0.02172480211081794,0.9571435735507744,0.9590788522348628,0.00010927944346704299,0.00011444758241477274,True,-0.0001771216257706785,-0.00016853991999499218,24,True,True
2019-09-30,2018-04-02,2019-09-30,378,0.11503050316372299,4.771789783364999e-06,0.16976773703725845,0.776905573897311,0.006759304590888052,3.3333333333333335,-0.030376641178308184,0.003605619922973997,-0.02991360159515566,0.15016496244337008,0.2654029900361112,0.02184656084656085,0.9466733109345694,0.9489196804590543,8.948220613340771e-05,9.341738317709538e-05,True,-0.00014900508417229895,-0.0001424946833259444,24,True,True
